puzzle_id,themes
uvNs1,"[""mateIn1"",""oneMove"",""endgame""]"
uzVmn,"[""endgame"",""long"",""mateIn3"",""backRankMate""]"
v2eUL,"[""mateIn1"",""oneMove"",""endgame""]"
v9Y4S,"[""middlegame"",""short"",""queensideAttack"",""crushing""]"
vAFR2,"[""queensideAttack"",""oneMove"",""mateIn1"",""master"",""middlegame""]"
vE6dP,"[""deflection"",""short"",""crushing"",""fork"",""master"",""middlegame""]"
vQJIO,"[""crushing"",""long"",""endgame""]"
vShTd,"[""endgame"",""advantage"",""fork"",""long""]"
vXFkZ,"[""endgame"",""master"",""masterVsMaster"",""oneMove"",""mateIn1""]"
vetl7,"[""short"",""advantage"",""discoveredAttack"",""master"",""middlegame""]"
vf0c2,"[""attraction"",""long"",""mateIn3"",""sacrifice"",""kingsideAttack"",""master"",""middlegame""]"
vfdzu,"[""advantage"",""trappedPiece"",""short"",""opening""]"
vgblP,"[""oneMove"",""mateIn1"",""master"",""middlegame""]"
vxyWp,"[""short"",""advantage"",""discoveredAttack"",""master"",""middlegame""]"
vzmAo,"[""short"",""crushing"",""discoveredAttack"",""master"",""middlegame""]"
wF6vc,"[""crushing"",""fork"",""short"",""middlegame""]"
wKEFY,"[""middlegame"",""short"",""advantage"",""discoveredAttack""]"
wiC6P,"[""advantage"",""short"",""opening""]"
wzhPo,"[""deflection"",""endgame"",""master"",""short"",""crushing"",""bishopEndgame""]"
x3uEZ,"[""exposedKing"",""endgame"",""advantage"",""long""]"
x6I19,"[""endgame"",""advancedPawn"",""short"",""crushing"",""attraction"",""promotion""]"
x8zWC,"[""middlegame"",""oneMove"",""mateIn1"",""pin""]"
xBWGf,"[""short"",""fork"",""endgame"",""mateIn2""]"
xFboU,"[""deflection"",""short"",""endgame"",""mateIn2""]"
xJjrr,"[""mateIn2"",""middlegame"",""short"",""fork"",""anastasiaMate""]"
xSFhu,"[""short"",""discoveredAttack"",""crushing"",""middlegame""]"
xWjam,"[""middlegame"",""advantage"",""fork"",""long"",""sacrifice""]"
xX4qC,"[""endgame"",""short"",""advantage"",""fork"",""pin""]"
xYsTU,"[""endgame"",""crushing"",""fork"",""deflection"",""veryLong""]"
xb8E0,"[""endgame"",""long"",""mateIn3"",""blindSwineMate""]"
xicj3,"[""endgame"",""master"",""short"",""advantage""]"
xoOO6,"[""endgame"",""advancedPawn"",""underPromotion"",""crushing"",""fork"",""long"",""promotion""]"
xwZIM,"[""defensiveMove"",""advantage"",""long"",""endgame""]"
xz1hw,"[""advantage"",""long"",""middlegame"",""master""]"
y1vY4,"[""short"",""endgame"",""mateIn2""]"
y8rAb,"[""crushing"",""pawnEndgame"",""short"",""endgame""]"
yHQXY,"[""endgame"",""master"",""short"",""advantage"",""capturingDefender""]"
ydY0r,"[""xRayAttack"",""advantage"",""short"",""endgame""]"
yivAE,"[""crushing"",""long"",""endgame""]"
yvnGP,"[""oneMove"",""mateIn1"",""middlegame""]"
yxtsb,"[""endgame"",""epauletteMate"",""oneMove"",""mateIn1""]"
z7zJA,"[""opening"",""advantage"",""short""]"
zFtUx,"[""short"",""advantage"",""hangingPiece"",""middlegame""]"
zM1PJ,"[""mateIn2"",""middlegame"",""short""]"
zUjfs,"[""endgame"",""short"",""advantage"",""discoveredAttack""]"
ze08E,"[""endgame"",""master"",""crushing"",""attraction"",""fork"",""long"",""sacrifice""]"
ze7yy,"[""short"",""endgame"",""mateIn2""]"
zv6aT,"[""endgame"",""short"",""crushing"",""skewer""]"
zwrcp,"[""endgame"",""discoveredAttack"",""short"",""crushing""]"
zx7zx,"[""endgame"",""long"",""mateIn3""]"
